X,Y,Z,Classification,NumberOfReturns,ReturnNumber,Intensity
276600.73,1557998.52,222.63,5,1,1,25
276600.15,1557998.29,222.93,5,2,1,19
276598.35,1557997.35,219.06,5,1,1,15
276598.19,1557997.37,220.77,5,1,1,21
276598.58,1557997.70,224.32,5,1,1,13
276598.00,1557997.47,224.53,5,2,1,7
276597.19,1557997.00,221.81,5,2,2,9
276597.01,1557997.00,223.35,5,1,1,21
276596.42,1557996.76,223.52,5,1,1,18
276596.31,1557996.79,225.26,5,1,1,13
276595.40,1557996.37,224.30,5,2,1,9
276593.76,1557995.42,218.80,5,2,2,2
276594.47,1557996.03,225.31,5,2,1,4
276592.83,1557995.08,219.81,5,2,2,13
276594.25,1557995.99,226.56,5,1,1,17
276593.92,1557995.90,227.44,5,2,1,19
276593.66,1557995.84,228.53,5,1,1,25
276593.12,1557995.62,228.65,5,2,1,16
276590.54,1557994.13,220.11,5,2,2,8
276592.54,1557995.38,228.66,5,2,1,6
276587.67,1557993.01,221.71,5,1,1,33
276587.21,1557992.83,221.96,5,1,1,31
276585.16,1557992.04,223.44,5,1,1,31
276584.72,1557991.86,223.56,5,1,1,17
276574.86,1557987.66,222.32,2,1,1,36
276573.22,1557986.98,222.65,2,1,1,30
276574.28,1557987.40,222.40,2,1,1,29
276575.75,1557988.00,222.24,2,1,1,32
276575.97,1557988.09,222.20,2,1,1,30
276579.27,1557989.58,224.69,5,1,1,20
276584.98,1557991.90,223.56,5,1,1,31
276585.28,1557992.00,223.12,5,1,1,32
276587.20,1557992.74,221.86,5,1,1,29
276587.64,1557992.92,221.73,5,1,1,30
276592.67,1557995.33,228.43,5,2,1,9
276593.30,1557995.62,228.84,5,2,1,15
276590.78,1557994.16,220.49,5,2,2,6
276593.76,1557995.80,228.64,5,1,1,25
276594.02,1557995.86,227.75,5,2,1,21
276594.33,1557995.95,227.00,5,1,1,25
276594.45,1557995.94,225.62,5,1,1,15
276594.56,1557995.91,224.15,5,2,1,1
276593.23,1557995.15,219.73,5,2,2,19
276595.44,1557996.33,225.26,5,2,1,12
276593.30,1557995.10,218.10,5,2,2,4
276596.28,1557996.73,226.25,5,1,1,27
276595.71,1557996.31,222.46,5,1,1,16
276596.50,1557996.68,223.23,5,1,1,23
276596.99,1557996.87,222.94,5,1,1,18
276597.10,1557996.84,221.36,5,1,1,17
276598.50,1557997.55,224.13,5,1,1,18
276598.08,1557997.21,220.70,5,2,1,24
276597.21,1557996.71,217.76,5,2,2,6
276598.05,1557997.10,218.62,5,1,1,15
276599.90,1557998.08,222.91,5,2,1,11
276598.83,1557997.45,219.25,5,2,2,9
276600.41,1557998.28,222.62,5,1,1,17
276601.03,1557998.54,222.69,5,1,1,26
276601.72,1557998.84,222.97,5,1,1,25
276602.41,1557999.13,223.23,5,2,1,19
276602.90,1557999.32,222.83,5,2,1,11
276600.36,1557997.84,214.10,5,2,2,11
276600.88,1557998.04,213.74,5,1,1,28
276601.47,1557998.28,213.62,5,1,1,24
276602.37,1557998.70,214.57,5,2,1,20
276603.13,1557999.04,215.00,5,1,1,26
276603.73,1557999.28,214.90,5,1,1,31
276607.56,1557999.92,219.04,5,2,1,20
276607.14,1557999.80,220.09,5,1,1,30
276606.23,1557999.38,219.42,5,2,1,12
276604.46,1557998.47,215.76,5,1,1,33
276603.71,1557998.15,215.64,5,1,1,25
276602.88,1557997.78,215.23,5,1,1,21
276602.33,1557997.58,215.76,5,3,1,3
